Symbol,Token,,,,NIFTY 50,,,,,
GNA,18571,,,,,,,,,
FDC,4898,,,,,,,,,
FCSSOFT,11999,,,,,,,,,
FCONSUMER,30041,,,,,,,,,
FCL,6198,,,,,,,,,
FAZE3Q,12000,,,,,,,,,
FAIRCHEMOR,1614,,,,,,,,,
FEDERALBNK,1023,,,,,,,,,
FACT,1008,,,,,,,,,
EXPLEOSOL,17486,,,,,,,,,
EXIDEIND,676,,,,,,,,,
EXICOM,22947,,,,,,,,,
EXCELINDUS,11471,,,,,,,,,
EXCEL,17376,,,,,,,,,
EVERESTIND,993,,,,,,,,,
EXXARO,5352,,,,,,,,,
EVEREADY,11782,,,,,,,,,
FEDFINA,20322,,,,,,,,,
FELDVR,17006,,,,,,,,,
FLFL,14868,,,,,,,,,
FLEXITUFF,25516,,,,,,,,,
FLAIR,20372,,,,,,,,,
FIVESTAR,12032,,,,,,,,,
FINPIPE,1041,,,,,,,,,
FINOPB,6579,,,,,,,,,
FEL,13812,,,,,,,,,
FINEORG,3744,,,,,,,,,
FILATFASH,23647,,,,,,,,,
FILATEX,24532,,,,,,,,,
FIEMIND,13710,,,,,,,,,
FIDEL,9858,,,,,,,,,
FIBERWEB,8159,,,,,,,,,
FELIX,573,,,,,,,,,
FINCABLES,1038,,,,,,,,,
FLUOROCHEM,13750,,,,,,,,,
EUROTEXIND,8886,,,,,,,,,
ETHOSLTD,9750,,,,,,,,,
ENGINERSIN,4907,,,,,,,,,
ENFUSE,23224,,,,,,,,,
ENERGYDEV,15049,,,,,,,,,
ENDURANCE,18822,,,,,,,,,
EMUDHRA,9756,,,,,,,,,
EMSLIMITED,18593,,,,,,,,,
ENIL,13192,,,,,,,,,
EMMIL,23748,,,,,,,,,
EMKAYTOOLS,10253,,,,,,,,,
EMKAY,13421,,,,,,,,,
EMIL,11530,,,,,,,,,
EMBASSY,9383,,,,,,,,,
EMAMIREAL,19277,,,,,,,,,
EMAMIPAP,10074,,,,,,,,,
EMMBI,18142,,,,,,,,,
EUROBOND,7331,,,,,,,,,
ENSER,23230,,,,,,,,,
EPACK,22463,,,,,,,,,
ESTER,24265,,,,,,,,,
ESSENTIA,30327,,,,,,,,,
ESSARSHPNG,25634,,,,,,,,,
ESFL,17084,,,,,,,,,
ESCORTS,958,,,,,,,,,
ESCONET,22764,,,,,,,,,
ENTERO,22717,,,,,,,,,
ESAFSFB,19878,,,,,,,,,
EROSMEDIA,20080,,,,,,,,,
ERIS,21154,,,,,,,,,
EQUITASBNK,913,,,,,,,,,
EQUIPPP,3553,,,,,,,,,
EPL,981,,,,,,,,,
EPIGRAL,5382,,,,,,,,,
ESABINDIA,955,,,,,,,,,
FMGOETZE,1190,,,,,,,,,
FMNL,21021,,,,,,,,,
FOCE,7385,,,,,,,,,
GIRIRAJ,2366,,,,,,,,,
GIPCL,1145,,,,,,,,,
GINNIFILA,1142,,,,,,,,,
GILLETTE,1576,,,,,,,,,
GILLANDERS,17843,,,,,,,,,
GICRE,277,,,,,,,,,
GIRRESORTS,9935,,,,,,,,,
GICL,18815,,,,,,,,,
GHCLTEXTIL,16696,,,,,,,,,
GHCL,1127,,,,,,,,,
GFLLIMITED,1289,,,,,,,,,
GET&D,16787,,,,,,,,,
GESHIP,13776,,,,,,,,,
GEPIL,7862,,,,,,,,,
GICHSGFIN,1139,,,,,,,,,
GEOJITFSL,11896,,,,,,,,,
GKWLIMITED,17360,,,,,,,,,
GLAXO,1153,,,,,,,,,
GMRP&UI,8529,,,,,,,,,
GMRINFRA,13528,,,,,,,,,
GMMPFAUDLR,1570,,,,,,,,,
GMDCLTD,5204,,,,,,,,,
GMBREW,1168,,,,,,,,,
GLS,5265,,,,,,,,,
GLAND,1186,,,,,,,,,
GLOSTERLTD,23590,,,,,,,,,
GLOBE,393,,,,,,,,,
GLOBALVECT,13739,,,,,,,,,
GLOBALPET,17167,,,,,,,,,
GLOBAL,1417,,,,,,,,,
GLFL,8412,,,,,,,,,
GLENMARK,7406,,,,,,,,,
GLOBUSSPR,17424,,,,,,,,,
GENUSPOWER,11905,,,,,,,,,
GENUSPAPER,6600,,,,,,,,,
GENSOL,17010,,,,,,,,,
GAIL,4717,,,,,,,,,
